defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110133	0133 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110134	0134 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110135	0135 L2/3 IT ENT Glut_5											
http://purl.obolibrary.org/obo/PCL_0110136	0136 L2/3 IT ENT Glut_6											
http://purl.obolibrary.org/obo/PCL_0110137	0137 L2/3 IT ENT Glut_6											
http://purl.obolibrary.org/obo/PCL_0110138	0138 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110139	0139 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110140	0140 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110141	0141 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110142	0142 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110143	0143 L2/3 IT ENTl-PIR Glut_1											
http://purl.obolibrary.org/obo/PCL_0110144	0144 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110145	0145 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110146	0146 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110147	0147 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110148	0148 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110149	0149 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110150	0150 L2/3 IT ENTl-PIR Glut_2											
http://purl.obolibrary.org/obo/PCL_0110151	0151 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110152	0152 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110153	0153 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110154	0154 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110155	0155 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110156	0156 L2/3 IT ENTl-PIR Glut_3											
http://purl.obolibrary.org/obo/PCL_0110157	0157 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110158	0158 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110159	0159 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110160	0160 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110161	0161 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110162	0162 L2/3 IT ENTl-PIR Glut_4											
http://purl.obolibrary.org/obo/PCL_0110163	0163 L2/3 IT ENTl-PIR Glut_5											
http://purl.obolibrary.org/obo/PCL_0110164	0164 L2/3 IT ENTl-PIR Glut_6											
http://purl.obolibrary.org/obo/PCL_0110165	0165 L2/3 IT ENTl-PIR Glut_6											
http://purl.obolibrary.org/obo/PCL_0110166	0166 IT AON-TT-DP Glut_1											
http://purl.obolibrary.org/obo/PCL_0110167	0167 IT AON-TT-DP Glut_1											
http://purl.obolibrary.org/obo/PCL_0110168	0168 IT AON-TT-DP Glut_1											
http://purl.obolibrary.org/obo/PCL_0110169	0169 IT AON-TT-DP Glut_1											
http://purl.obolibrary.org/obo/PCL_0110170	0170 IT AON-TT-DP Glut_1											
http://purl.obolibrary.org/obo/PCL_0110171	0171 IT AON-TT-DP Glut_2											
http://purl.obolibrary.org/obo/PCL_0110172	0172 IT AON-TT-DP Glut_2											
http://purl.obolibrary.org/obo/PCL_0110173	0173 IT AON-TT-DP Glut_2											
http://purl.obolibrary.org/obo/PCL_0110174	0174 IT AON-TT-DP Glut_2											
http://purl.obolibrary.org/obo/PCL_0110175	0175 IT AON-TT-DP Glut_3											
http://purl.obolibrary.org/obo/PCL_0110176	0176 IT AON-TT-DP Glut_3											
http://purl.obolibrary.org/obo/PCL_0110177	0177 IT AON-TT-DP Glut_3											
http://purl.obolibrary.org/obo/PCL_0110178	0178 IT AON-TT-DP Glut_3											
http://purl.obolibrary.org/obo/PCL_0110179	0179 IT AON-TT-DP Glut_4											
http://purl.obolibrary.org/obo/PCL_0110180	0180 IT AON-TT-DP Glut_4											
http://purl.obolibrary.org/obo/PCL_0110181	0181 IT AON-TT-DP Glut_4											
http://purl.obolibrary.org/obo/PCL_0110182	0182 IT AON-TT-DP Glut_5											
http://purl.obolibrary.org/obo/PCL_0110183	0183 IT AON-TT-DP Glut_5											
http://purl.obolibrary.org/obo/PCL_0110184	0184 IT AON-TT-DP Glut_5											
http://purl.obolibrary.org/obo/PCL_0110185	0185 IT AON-TT-DP Glut_5											
http://purl.obolibrary.org/obo/PCL_0110186	0186 L2 IT ENT-po Glut_1											
http://purl.obolibrary.org/obo/PCL_0110187	0187 L2 IT ENT-po Glut_1											
http://purl.obolibrary.org/obo/PCL_0110188	0188 L2 IT ENT-po Glut_2											
http://purl.obolibrary.org/obo/PCL_0110189	0189 L2 IT ENT-po Glut_2											
http://purl.obolibrary.org/obo/PCL_0110190	0190 L2 IT ENT-po Glut_3											
http://purl.obolibrary.org/obo/PCL_0110191	0191 L2 IT ENT-po Glut_4											
http://purl.obolibrary.org/obo/PCL_0110192	0192 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110193	0193 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110194	0194 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110195	0195 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110196	0196 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110197	0197 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110198	0198 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110199	0199 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110200	0200 MEA Slc17a7 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110201	0201 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110202	0202 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110203	0203 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110204	0204 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110205	0205 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110206	0206 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110207	0207 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110208	0208 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110209	0209 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110210	0210 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110211	0211 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110212	0212 MEA Slc17a7 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110213	0213 MEA Slc17a7 Glut_3											
http://purl.obolibrary.org/obo/PCL_0110214	0214 MEA Slc17a7 Glut_3											
http://purl.obolibrary.org/obo/PCL_0110215	0215 COAp Grxcr2 Glut_1											
http://purl.obolibrary.org/obo/PCL_0110216	0216 COAp Grxcr2 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110217	0217 COAp Grxcr2 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110218	0218 COAp Grxcr2 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110219	0219 COAp Grxcr2 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110220	0220 COAp Grxcr2 Glut_2											
http://purl.obolibrary.org/obo/PCL_0110221	0221 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110222	0222 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110223	0223 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110224	0224 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110225	0225 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110226	0226 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110227	0227 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110228	0228 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110229	0229 LA-BLA-BMA-PA Glut_1											
http://purl.obolibrary.org/obo/PCL_0110230	0230 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110231	0231 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110232	0232 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110233	0233 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110234	0234 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110235	0235 LA-BLA-BMA-PA Glut_2											
http://purl.obolibrary.org/obo/PCL_0110236	0236 LA-BLA-BMA-PA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110237	0237 LA-BLA-BMA-PA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110238	0238 LA-BLA-BMA-PA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110239	0239 LA-BLA-BMA-PA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110240	0240 LA-BLA-BMA-PA Glut_3											
http://purl.obolibrary.org/obo/PCL_0110241	0241 LA-BLA-BMA-PA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110242	0242 LA-BLA-BMA-PA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110243	0243 LA-BLA-BMA-PA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110244	0244 LA-BLA-BMA-PA Glut_4											
http://purl.obolibrary.org/obo/PCL_0110245	0245 LA-BLA-BMA-PA Glut_5											
http://purl.obolibrary.org/obo/PCL_0110246	0246 LA-BLA-BMA-PA Glut_5											
http://purl.obolibrary.org/obo/PCL_0110247	0247 LA-BLA-BMA-PA Glut_5											
http://purl.obolibrary.org/obo/PCL_0110248	0248 LA-BLA-BMA-PA Glut_5											
http://purl.obolibrary.org/obo/PCL_0110249	0249 LA-BLA-BMA-PA Glut_6											
http://purl.obolibrary.org/obo/PCL_0110250	0250 LA-BLA-BMA-PA Glut_6											
http://purl.obolibrary.org/obo/PCL_0110251	0251 LA-BLA-BMA-PA Glut_6											
http://purl.obolibrary.org/obo/PCL_0110252	0252 COAp-TR-ENTmv Glut_1											
http://purl.obolibrary.org/obo/PCL_0110253	0253 COAp-TR-ENTmv Glut_1											
http://purl.obolibrary.org/obo/PCL_0110254	0254 COAp-TR-ENTmv Glut_1											
http://purl.obolibrary.org/obo/PCL_0110255	0255 COAp-TR-ENTmv Glut_1											
http://purl.obolibrary.org/obo/PCL_0110256	0256 COAp-TR-ENTmv Glut_2											
http://purl.obolibrary.org/obo/PCL_0110257	0257 COAp-TR-ENTmv Glut_2											
http://purl.obolibrary.org/obo/PCL_0110258	0258 COAp-TR-ENTmv Glut_2											
http://purl.obolibrary.org/obo/PCL_0110259	0259 COAp-TR-ENTmv Glut_3											
http://purl.obolibrary.org/obo/PCL_0110260	0260 COAp-TR-ENTmv Glut_3											
http://purl.obolibrary.org/obo/PCL_0110261	0261 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110262	0262 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110263	0263 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110264	0264 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110265	0265 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110266	0266 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110267	0267 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110268	0268 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110269	0269 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110270	0270 CA1-ProS Glut_1											
http://purl.obolibrary.org/obo/PCL_0110271	0271 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110272	0272 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110273	0273 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110274	0274 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110275	0275 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110276	0276 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110277	0277 CA1-ProS Glut_2											
http://purl.obolibrary.org/obo/PCL_0110278	0278 CA1-ProS Glut_3											
http://purl.obolibrary.org/obo/PCL_0110279	0279 CA1-ProS Glut_3											
